person_assigned,double-checked by,rowID,speciesID,common_name,species,doc_type,sara_status,doc_citation,url,web_pub_date,year_published,status_appraisal_rapid_review,final,amendment,taxonomic_group,EOO,IAO,locations,endemic_NA,endemic_canada,continuous_USA,cosewic_status,ranges,cosewic_examined_date,date_of_listing,gic_decision,criteria_used_listing_1,criteria_used_listing_2,criteria_used_listing_3,criteria_used_listing_4,criteria_used_listing_5,1_notes_on_model,1_type_of_model_used,1_report_section_model _referenced,1_uncertainty_reported,1_type_uncertainty_reported,1_degree_of_uncertainty,1_reference,1_reference_type,1_rationale_reference,1_model_species_specific ,1_criteria_model_used_to_inform,1_model_used_listing_decision,1_rationale_model_used_listing_decision,2_notes_on_model,2_type_of_model_used,2_report_section_model _referenced,2_uncertainty_reported,2_type_uncertainty_reported,2_degree_of_uncertainty,2_reference,2_reference_type,2_rationale_reference,2_model_species_specific ,2_criteria_model_used_to_inform,2_model_used_listing_decision,2_rationale_model_used_listing_decision,3_notes_on_model,3_type_of_model_used,3_report_section_model _referenced,3_uncertainty_reported,3_type_uncertainty_reported,3_degree_of_uncertainty,3_reference,3_reference_type,3_rationale_reference,3_model_species_specific ,3_criteria_model_used_to_inform,3_model_used_listing_decision,3_rationale_model_used_listing_decision,4_notes_on_model,4_type_of_model_used,4_report_section_model _referenced,4_uncertainty_reported,4_type_uncertainty_reported,4_degree_of_uncertainty,4_reference,4_reference_type,4_rationale_reference,4_model_species_specific ,4_criteria_model_used_to_inform,4_model_used_listing_decision,4_rationale_model_used_listing_decision,was_model_mentioned_anywhere_else,were_multiple_models_mentioned_elsewhere,report_sections_additional_model_referenced,flag_for_group_discussion,flag_resolution
Hossam,,,,eastern tiger salamander carolinian population,Ambystoma tigrinum,COSEWIC Status Reports,Extirpated,"COSEWIC. 2023. COSEWIC Rapid Review of Classification on the Eastern Tiger Salamander Ambystoma tigrinum, Carolinian population, in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. ixpp.",https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=eastern%20tiger%20salamander%20carolinian%20population,1/23/24,2023,1,0,0,Amphibians,,,,,,,Extirpated,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA
Lucas,,,,northern leopard frog rocky mountain population,Lithobates pipiens,COSEWIC Status Reports,Endangered,"COSEWIC. 2021. COSEWIC status appraisal summary on the Northern Leopard Frog, Rocky Mountain population, Lithobates pipiens in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. xxiii pp",https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=northern%20leopard%20frog%20rocky%20mountain%20population,11/17/22,2021,1,1,0,Amphibians,,,,,,,Endangered,,,,,"B1ab(iii,v)+2ab(iii,v)","C2a(i,ii)",D1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA
Hossam,,244,430,pygmy snaketail,Ophiogomphus howei,COSEWIC Status Reports,Special Concern,COSEWIC. 2018. COSEWIC assessment and status report on the Pygmy SnaketailOphiogomphus howei in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. xi + 46 pp.,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=pygmy%20snaketail,10/9/19,2018,0,1,0,Arthropods,"162,904 km2",92 km2,NA,1,0,1,Special Concern,ON NB,11/1/18,2/4/11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA
Aaliyah,Hossam,252,404,rapids clubtail,Gomphus quadricolor,COSEWIC Status Reports,Endangered,COSEWIC. 2018. COSEWIC assessment and status report on the Rapids Clubtail Phanogomphus quadricolor in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. xii + 48 pp.,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=rapids%20clubtail,10/9/19,2018,0,1,0,Arthropods,"7,995 km2",36 km2,44320,1,0,0,Endangered,ON,11/1/18,2/23/10,NA,B2ab(iii),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA
Aaliyah,Hossam,276,829,sable island sweat bee,Lasioglossum sablense,COSEWIC Status Reports,Threatened,COSEWIC. 2014. COSEWIC assessment and status report on the Sable Island Sweat Bee Lasioglossum sablense in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. ix + 38 pp.,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=sable%20island%20sweat%20bee,12/9/15,2014,0,1,0,Arthropods,118 km2,16 km2,< 5,1,1,0,Threatened,NS,11/1/14,5/30/18,List,D2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,N,THR,NA,NA
Aaliyah,Hossam,346,127,verna's flower moth,Schinia verna,COSEWIC Status Reports,Threatened,COSEWIC. 2017. COSEWIC assessment and status report on the Verna¬ís Flower Moth Schinia verna in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. x + 42 pp.,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=verna%27s%20flower%20moth,10/15/18,2017,0,1,0,Arthropods,"157,421 km2",28 km2,Unknown,1,1,0,Threatened,AB SK MB,11/1/17,3/5/09,NA,C2a(i),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA
Lucas,,347,1036,vivid dancer,Argia vivida,COSEWIC Status Reports,Special Concern,COSEWIC. 2015. COSEWIC assessment and status report on the Vivid Dancer Argia vivida in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. ix + 53 pp.,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=vivid%20dancer,11/20/15,2015,0,1,0,Arthropods,"106,000 km2",124 km2,22,1,0,1,Special Concern,BC AB,5/1/15,2/25/19,List,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lucas,Hossam,820,1,bert's predaceous diving beetle,Sanfilippodytes bertae,COSEWIC Status Reports,Endangered,COSEWIC. 2009. COSEWIC assessment and status report on the Bert¬ís Predaceous Diving Beetle Sanfilippodytes bertae in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. vii + 27 pp.,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=bert%27s%20predaceous%20diving%20beetle,9/3/10,2009,0,1,0,Arthropods,4,4,1,1,1,0,Endangered,AB,11/1/09,6/20/12,List,B1ab(iii) + 2ab(iii),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caitlin,Hossam,671,43,poweshiek skipperling,Oarisma poweshiek,COSEWIC Status Reports,Threatened,COSEWIC. 2014. COSEWIC assessment and status report on the Poweshiek Skipperling Oarisma poweshiek in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. xi + 43 pp.,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=poweshiek%20skipperling,12/9/15,2014,0,1,0,Arthropods,41,40,3.5,1,0,1,Endangered,MB,11/1/14,7/14/05,Uplist,B1ab(iii)+2ab(iii),C2a(i),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA
Hossam,Jayme,716,44,gold-edged gem,Schinia avemensis,COSEWIC Status Reports,Endangered,COSEWIC. 2016. COSEWIC assessment and status report on the Gold-edged Gem Schinia avemensis in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. xi + 49 pp,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=gold%20-%20edged%20gem,10/24/17,2016,0,1,0,Arthropods,121000,500,14,1,0,0,Endangered,AB SK MB,11/1/16,12/13/07,NA,"B2ab(ii,iii)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA
Caitlin,Hossam,576,48,dakota skipper,Hesperia dacotae,COSEWIC Status Reports,Threatened,COSEWIC. 2014. COSEWIC assessment and status report on the Dakota Skipper Hesperia dacotae in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. xii + 61 pp.,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=dakota%20skipper,1/6/15,2014,0,1,0,Arthropods,26300,248,6,1,0,1,Endangered,SK MB,5/1/14,7/14/05,Uplist,"B2ab(i,ii,iii,iv,v)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA
Caitlin,,664,49,sand-verbena moth,Copablepharon fuscum,COSEWIC Status Reports,Endangered,COSEWIC. 2013. COSEWIC status appraisal summary on the Sand-verbena Moth Copablepharon fuscum in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. xxiv pp,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=sand%20-%20verbena%20moth,10/15/14,2013,1,1,0,Arthropods,8116,20,5,1,0,1,Endangered,BC,11/1/13,7/14/05,NA,B2ab(iii),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aaliyah/Caitlin,Jayme,899,50,monarch,Danaus plexippus,COSEWIC Status Reports,Special Concern,COSEWIC. 2016. COSEWIC assessment and status report on the Monarch Danaus plexippus in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. xiii + 59 pp,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=monarch,10/24/17,2016,0,1,0,Arthropods,1300000,2000,NR,0,0,1,Endangered,BC AB SK MB ON QC NB PE NS,11/1/16,6/5/03,NA,A2bce,NA,NA,NA,NA,"Monarch population models and estimate extinction risk and population declines. predicts a >5% risk of quasi-extinction over 100 years. The study used a spatially structured stochastic and density-dependent periodic projection matrix model to estimate the probability of quasi-extinction, for which the threshold for quasi-extinction was set at <1000 individuals. Along with the quasi-extinction probability, the paper projects a 14% population decline over 100 years.",abundance,POP,NA,NRP,NRP,"Flockhart, D.T.T., J.P. Pichancourt, D.R. Norris and T.G. Martin. 2014. Unravelling the annual cycle in a migratory animal: breeding-season habitat loss drives population declines of monarch butterflies. Journal of Animal Ecology. 84(1): 155-165.",PR,Published in journal of Ecology,Y,A,N,Model estimated the probability quasi-extinction of population and suggest population decline of 14% over 100 yrs and decline due to decline in milkweed in US overwintering site,"Quasi-extinction model is detailed in a recent paper by Semmens et al. (2016) and is applicable to the eastern Monarchs only. The model predicts the probability of quasi-extinction to be 11-57% over 20 years using a starting population that corresponds to the winter 2014/2015 estimate of 1.13ha, and a range of quasi-extinction thresholds from 0.01-0.25 ha. The model was fit using occupied overwintering hectares of forest across all years there was data (1993–2014) and total annual egg production in the Midwest (1999– 2014), a population growth rate (estimated at 0.94), as well as a yearly deviation. The model assumes a normal distribution and a standard deviation termed process noise (or population stochasticity due to biological and environmental variability) and that the noise in the time series is greater than the measurement error associated with the Mexican overwintering data.",demographic,POP,Y,OTH,MED,"Semmens, B.X., D.J. Semmens, W.E. Thogmartin, R. Wiederholt, L. López-Hoffman, J.E. Diffendorfer, J.M. Pleasants, K.S. Oberhauser and O.R. Taylor. 2016. Quasi-extinction risk and population targets for the Eastern, migratory population of monarch butterflies (Danaus plexippus). Scientific Reports 6, Article number: 23265 doi:10.1038/srep23265",PR,Scientific report published in journals,Y,E,N,It is not used to inform listing decision because solely pertains to eastern monarchs,Climate models predict that suitable climatic habitat for Oyamel Fir will decline by 50% by 2030 and be completely eliminated by 2090,distributional,"HAB, THR",N,NRP,NRP,Ramirez et al. 2015,PR,scientific book,N,A,Y,"""based on a decline in habitat quality at both overwintering sites and...""",a log-linear regression of the time series indicates an 83% decline.,abundance,POP,N,NRP,NRP,NRP,NEW,Seems like it was produced for this report alone using the MonarchWatch data,Y,A,Y,"decline in population estimates in overwintering areas is cited under Criteria A, and this model seems like the only one that shows that decline",Y,Y,"HAB, THR",NA,NA
